name|short_code|code|precision|subunit|symbol|symbol_first|decimal_mark|thousands_separator
New Romanian Leu|RON|946|2|100|Lei|True|,|.
Serbian Dinar|RSD|941|2|100|РСД|True|.|,
Russian Ruble|RUB|643|2|100|₽|False|,|.
Rwanda Franc|RWF|646|0|1|FRw|False|.|,
Saudi Riyal|SAR|682|2|100|ر.س|True|.|,
Solomon Islands Dollar|SBD|90|2|100|$|False|.|,
Seychelles Rupee|SCR|690|2|100|₨|False|.|,
Sudanese Pound|SDG|938|2|100|£|True|.|,
Swedish Krona|SEK|752|2|100|kr|False|,| 
Singapore Dollar|SGD|702|2|100|$|True|.|,
Saint Helena Pound|SHP|654|2|100|£|False|.|,
Leone|SLL|694|2|100|Le|False|.|,
Somali Shilling|SOS|706|2|100|Sh|False|.|,
Surinam Dollar|SRD|968|2|100|$|False|.|,
South Sudanese Pound|SSP|728|2|100|£|False|.|,
Dobra|STD|678|2|100|Db|False|.|,
El Salvador Colon|SVC|222|2|100|₡|True|.|,
Syrian Pound|SYP|760|2|100|£S|False|.|,
Lilangeni|SZL|748|2|100|E|True|.|,
Baht|THB|764|2|100|฿|True|.|,
Somoni|TJS|972|2|100|ЅМ|False|.|,
Turkmenistan New Manat|TMT|934|2|100|T|False|.|,
Tunisian Dinar|TND|788|3|1000|د.ت|False|.|,
Pa’anga|TOP|776|2|100|T$|True|.|,
Turkish Lira|TRY|949|2|100|₺|True|,|.
Trinidad and Tobago Dollar|TTD|780|2|100|$|False|.|,
New Taiwan Dollar|TWD|901|2|100|$|True|.|,
Tanzanian Shilling|TZS|834|2|100|Sh|True|.|,
Hryvnia|UAH|980|2|100|₴|False|.|,
Uganda Shilling|UGX|800|0|1|USh|False|.|,
US Dollar|USD|840|2|100|$|True|.|,
Peso Uruguayo|UYU|858|2|100|$|True|,|.
Uzbekistan Sum|UZS|860|2|100|лв|True|.|,
Bolivar|VEF|937|2|100|Bs F|True|,|.
Dong|VND|704|0|1|₫|True|,|.
Vatu|VUV|548|0|1|Vt|True|.|,
Tala|WST|882|2|100|T|False|.|,
CFA Franc BEAC|XAF|950|0|1|Fr|False|.|,
East Caribbean Dollar|XCD|951|2|100|$|True|.|,
CFA Franc BCEAO|XOF|952|0|1|Fr|False|.|,
CFP Franc|XPF|953|0|1|Fr|False|.|,
Yemeni Rial|YER|886|2|100|﷼|False|.|,
Rand|ZAR|710|2|100|R|True|.|,
Zambian Kwacha|ZMW|967|2|100|ZK|False|.|,
Zimbabwe Dollar|ZWL|932|2|100|$|True|.|,
